location,description,created,target,type,to_package,association,images,comments,documents,priority,cause,project,task_group,days_to_target,month,weekday,season,has_parent_task,location_depth,description_length,task_category,overdue_label
1328 - Townsend St,"Toeboard or edge shutter required at leading edge. Cavity B3 to B4 Level 7, Townsend St. Also at doorway.",2020-06-12,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,6,4,summer,0,1,105,Safety,0
1328 - Townsend St,Material storage and housekeeping requires attention on Level 7  Block 3. Overall housekeeping is excellent on floors Ground to 6.,2020-06-12,,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,1,130,Safety,0
1328 - Townsend St,Signage required for materials hoist on all levels,2020-06-12,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,6,4,summer,0,1,50,Safety,0
1328 - Townsend St,"Secondary handles required on all grinders, Tritech operatives reminded of this. closed at time of inspection",2020-06-12,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,Behavioural Failure,JPC - Safety - Plant & Equipment,1328,Safety,,6,4,summer,0,1,109,Safety,0
1328 - Townsend St,Task specific exclusion zone set up by Errigal for mast climber works in courtyard,2020-06-12,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,6,4,summer,0,1,82,Safety,0
JPC Project Management>EHS Management,block 04 basement congested with materials. can,2019-08-06,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,1,summer,0,2,47,Safety,0
1328 - Townsend St,"Water damage caused by rainfall in welfare facilities, subcontractor offices",2020-06-19,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,6,4,summer,0,1,76,Safety,0
1328 - Townsend St,"International Men's Health Week was recognised on site this week with daily topics focussing on Mental Health, Occupational Health & Covid-19",2020-06-19,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1328,Safety,,6,4,summer,0,1,141,Safety,0
1328 - Townsend St,Heavy duty soap dispensers to be installed at hand wash stations,2020-06-19,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,6,4,summer,0,1,64,Safety,0
1328 - Townsend St,"Excess material to be removed from walkways on Level 7, Area 3",2020-06-19,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,1,62,Safety,0
1328 - Townsend St,Waste segregation being adhered to by subcontractors on site,2020-06-19,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,6,4,summer,0,1,60,Safety,0
1328 - Townsend St,"Scaffolding requires attention at lift shafts on Level 7, Area 2",2020-06-19,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,6,4,summer,0,1,64,Safety,0
1328 - Townsend St,Roof level is not a dumping ground. Access routes and weather conditions at high level should be considered at all times,2020-06-19,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,1,120,Safety,0
1328 - Townsend St,Lead Management requires attention at stair core 1 level 3,2020-06-19,,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,True,False,False,System Failure,JPC - Safety - Temporary Electrics,1328,Safety,,6,4,summer,0,1,58,Safety,0
JPC Project Management>EHS Management>01 Inspections,Covered walkway to be extended for access beneath mast climber,2020-06-26,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,6,4,summer,0,3,62,Safety,0
JPC Project Management>EHS Management>01 Inspections,Access routes demarcated in courtyard and skip areas for waste disposal,2020-06-26,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1328,Safety,,6,4,summer,0,3,71,Safety,0
JPC Project Management>EHS Management,following task raised at whiteboard regarding compressor hoses creating trip hazards around site. operative are now reeling hoses after use,2019-08-06,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Slips / Trips / Falls,1328,Safety,,8,1,summer,0,2,139,Safety,0
JPC Project Management>EHS Management>01 Inspections,Housekeeping required in Area 3 Level 7,2020-06-26,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,6,4,summer,0,3,39,Safety,0
JPC Project Management>EHS Management>01 Inspections,COSHH storage required in Area 3 Level 7,2020-06-26,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Environmental,1328,Safety,,6,4,summer,0,3,40,Safety,0
JPC Project Management>EHS Management>01 Inspections,Storage of intumescent paint requires designated COSHH area. Horizontal storage of podium ladders should also be considered,2020-06-26,,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,3,123,Safety,0
JPC Project Management>EHS Management>01 Inspections,COSHH storage required Area 2 Level 7,2020-06-26,,Safety Notice (Amber) - General Issue,Concrete - Formwork,Unknown,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,3,37,Safety,0
JPC Project Management>EHS Management>01 Inspections,COSHH storage required Area 2 Level 7,2020-06-26,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,6,4,summer,0,3,37,Safety,0
JPC Project Management>EHS Management>01 Inspections,Toeboard required at scaffold in lift shaft. Lead Management to be considered also,2020-06-26,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,6,4,summer,0,3,82,Safety,0
JPC Project Management>EHS Management>01 Inspections,"High standard in housekeeping Levels 5 & 6, Block 3 & 4",2020-06-26,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,6,4,summer,0,3,55,Safety,0
JPC Project Management>EHS Management>01 Inspections,Access to mast climber above Gate 4 to be installed prior to use. No lone working allowed on mast climbers,2020-07-03,,Safety Notice (Amber) - General Issue,Mastclimbers,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,106,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Remedial works required beneath mast climber at gate 4. Entrance to whiteboard area to be relocated, door to bike store to be reinstated and cables tidied. Crash deck required at access to bike store and exclusion zone beneath mast climber",2020-07-03,,Safety Notice (Amber) - General Issue,Mastclimbers,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,239,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Access point to stair core 2, block 4 requires attention. Some workforce witnessed utilizing this stairs for access",2020-07-03,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,7,4,summer,0,3,115,Safety,0
JPC Project Management>EHS Management>01 Inspections,McHale still to provide drip tray and fix tire for gene,2019-07-12,,Safety Notice (Amber) - General Issue,Groundworks,FormAnswer,True,False,False,Unknown,JPC - Safety - Plant & Equipment,1328,Safety,,7,4,summer,0,3,55,Safety,0
JPC Project Management>EHS Management,spray cansin use store away from working areas,2019-08-06,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,8,1,summer,0,2,46,Safety,0
JPC Project Management>EHS Management>01 Inspections,Whiteboard swept clean and social distancing circles resprayed,2020-07-03,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1328,Safety,,7,4,summer,0,3,62,Safety,0
JPC Project Management>EHS Management>01 Inspections,Whiteboard meeting setup improved with additional exclusion zones & riser permit boards introduced this week,2020-07-03,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1328,Safety,,7,4,summer,0,3,108,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Water main causing trip hazard on access route, long term solution to hang up above head height",2020-07-03,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,7,4,summer,0,3,95,Safety,0
JPC Project Management>EHS Management>01 Inspections,Smoking Area requires immediate attention. Waste bins and cigarette butt bucket provided. Workforce to face disciplinary action,2020-07-03,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,7,4,summer,0,3,127,Safety,0
JPC Project Management>EHS Management>01 Inspections,"High standard of housekeeping and material storage in courtyard, loading bay and mast climbers",2020-07-03,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,94,Safety,0
JPC Project Management>EHS Management>01 Inspections,Temporary protection should be considered for GRP in risers,2020-07-03,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,59,Safety,0
JPC Project Management>EHS Management>01 Inspections,SFS toe board missing in Area 1 Level 3 Room 319,2020-07-03,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,48,Safety,0
JPC Project Management>EHS Management>01 Inspections,Balcony on  Bracken Lane Level 1 requires a sweep down following scaffold removal,2020-07-03,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,7,4,summer,0,3,81,Safety,0
JPC Project Management>EHS Management>01 Inspections,Courtyard requires some housekeeping attention  steels to be removed to final location and Heras fence panels used for exclusion zone,2020-07-03,,Safety Notice (Amber) - General Issue,Structural Steel,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,7,4,summer,0,3,133,Safety,0
JPC Project Management>EHS Management>01 Inspections,Smoking Area being kept tidy following discussion at whiteboard this week,2020-07-10,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1328,Safety,,7,4,summer,0,3,73,Safety,0
JPC Project Management>EHS Management,harmful substances to be stored in cosh container,2019-08-06,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,8,1,summer,0,2,49,Safety,0
JPC Project Management>EHS Management>01 Inspections,Area beneath mast climber 11 on Townsend St requires clean up and permanent exclusion zone to be reinstated,2020-07-10,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Exclusion Zones,1328,Safety,,7,4,summer,0,3,107,Safety,0
JPC Project Management>EHS Management>01 Inspections,Material in designated storage area blocking access for forklift & personnel on site. Area to be kept clear and free from obstruction,2020-07-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,133,Safety,0
JPC Project Management>EHS Management>01 Inspections,Task specific exclusion zone set up by Tritech and COSHH storage in place,2020-07-10,,Safety Notice (Green) - Good Observation,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,7,4,summer,0,3,73,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Additional fire points, extinguishers & sounders for Blocks 1 & 2 delivered to site from yard. Alarm system to be commissioned on all points",2020-07-10,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Documentation,1328,Safety,,7,4,summer,0,3,140,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Courtyard at materials hoist to be kept clear at all times, skips not tobe overloaded and steel to be removed to designated cutting station",2020-07-10,,Safety Notice (Amber) - General Issue,Punch Windows,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,139,Safety,0
JPC Project Management>EHS Management>01 Inspections,Scaffold toe board removed at sensitive elevation in plant room level 7 block 3. Closed at time of inspection,2020-07-10,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,109,Safety,0
JPC Project Management>EHS Management>01 Inspections,Area 1 & 2 Block 3 in good condition following clean up operation,2020-07-10,,Safety Notice (Green) - Good Observation,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,7,4,summer,0,3,65,Safety,0
JPC Project Management>EHS Management>01 Inspections,Riser flowforge being covered with plywood protection following removal of handrail,2020-07-10,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,83,Safety,0
JPC Project Management>EHS Management>01 Inspections,Toilet cabins to be reinstated following drainage works in undercroft between Blick 1 & 2,2020-07-10,,Safety Notice (Amber) - General Issue,Drainage,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,7,4,summer,0,3,89,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Skid of grout and mortar bin left on Level 7, Block 4",2020-07-17,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,53,Safety,0
JPC Project Management>EHS Management,remove slings from site,2019-08-06,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Quality - Materials,1328,Safety,,8,1,summer,0,2,23,Safety,0
JPC Project Management>EHS Management>01 Inspections,Timbers and props to be removed from Level 7 Block 4,2020-07-17,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,7,4,summer,0,3,52,Safety,0
JPC Project Management>EHS Management>01 Inspections,Scaffolding material to be removed from Level 7 Block 4,2020-07-17,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,55,Safety,0
JPC Project Management>EHS Management>01 Inspections,Roof Level not to become a dumping ground. Designated materialstoragezones to be used,2020-07-17,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,7,4,summer,0,3,85,Safety,0
JPC Project Management>EHS Management>01 Inspections,All lift shafts closed and locked as per best practice,2020-07-17,,Safety Notice (Green) - Good Observation,Lifts,FormAnswer,True,False,False,Unknown,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,54,Safety,0
JPC Project Management>EHS Management>01 Inspections,Excellent standards in housekeeping in Blocks 3 & 4 during internal fit out works,2020-07-17,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,7,4,summer,0,3,81,Safety,0
JPC Project Management>EHS Management>01 Inspections,Temporary protection covers are required over flow forge in risers in Area 1 Block 3,2020-07-17,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,7,4,summer,0,3,84,Safety,0
JPC Project Management>EHS Management>01 Inspections,Task Specific Exclusion Zoneand signage required at balcony on Level 1 for mast climber works overhead,2020-07-17,,Safety Notice (Amber) - General Issue,Mastclimbers,FormAnswer,True,False,False,System Failure,JPC - Safety - Exclusion Zones,1328,Safety,,7,4,summer,0,3,102,Safety,0
JPC Project Management>EHS Management>01 Inspections,Additional c19 control measures in operation on site this week,2020-08-07,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Access,1328,Safety,,8,4,summer,0,3,62,Safety,0
JPC Project Management>EHS Management>01 Inspections,New c19 signage and stickers installed in promient locations on site. Additional hand sanitizers and signage installed on pit lane also.,2020-08-07,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1328,Safety,,8,4,summer,0,3,136,Safety,0
JPC Project Management>EHS Management>01 Inspections,"C19 adaption works made to all site offices and all staff issued disinfectant wipes, hand sanitizer, disposable gloves and face masks",2020-08-07,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1328,Safety,,8,4,summer,0,3,133,Safety,0
JPC Project Management>EHS Management,waste on site to be disposed of.,2019-08-06,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,8,1,summer,0,2,32,Safety,0
JPC Project Management>EHS Management>01 Inspections,ensure all operatives are clipped on when in  MEWPs,2020-08-13,,Safety Notice (Amber) - General Issue,Mechanical,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,8,3,summer,0,3,51,Safety,0
JPC Project Management>EHS Management>01 Inspections,inadequate cutting station,2020-08-13,,Safety Notice (Amber) - General Issue,Curtain Walling,FormAnswer,True,False,False,System Failure,JPC - Safety - Exclusion Zones,1328,Safety,,8,3,summer,0,3,26,Safety,0
JPC Project Management>EHS Management>01 Inspections,temp water pipe too low,2020-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Lead Management,1328,Safety,,8,3,summer,0,3,23,Safety,0
JPC Project Management>EHS Management>01 Inspections,temp cable to be raised off floof5,2020-08-13,,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,True,False,False,System Failure,JPC - Safety - Lead Management,1328,Safety,,8,3,summer,0,3,34,Safety,0
JPC Project Management>EHS Management>01 Inspections,step up needed into block 1 switchroom,2020-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,8,3,summer,0,3,38,Safety,0
JPC Project Management>EHS Management>01 Inspections,water ingress block 1 basement,2020-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,8,3,summer,0,3,30,Safety,0
JPC Project Management>EHS Management>01 Inspections,gas bottle storage empty bottles,2020-08-13,,Safety Notice (Amber) - General Issue,Roofing,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,3,summer,0,3,32,Safety,0
JPC Project Management>EHS Management>01 Inspections,housekeeping block 1 ground floors,2020-08-13,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,3,summer,0,3,34,Safety,0
JPC Project Management>EHS Management>01 Inspections,housekeeping block 1 level 1,2020-08-13,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,3,summer,0,3,28,Safety,0
JPC Project Management>EHS Management>01 Inspections,exclusion zone not in place in block 1 for precast install,2020-08-13,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,System Failure,JPC - Safety - Exclusion Zones,1328,Safety,,8,3,summer,0,3,58,Safety,0
JPC Project Management>EHS Management,"mushroom caps corriboard spacers, rebar. all materials which can be removed / gathered rather than skattered",2019-08-06,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,1,summer,0,2,108,Safety,0
JPC Project Management>EHS Management>01 Inspections,toeboard  to be extended,2020-08-13,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,8,3,summer,0,3,24,Safety,0
JPC Project Management>EHS Management>01 Inspections,lead management,2020-08-13,,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,True,False,False,System Failure,JPC - Safety - Electrical,1328,Safety,,8,3,summer,0,3,15,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Water coolers to be removed off site, blocking covid19 corral & whiteboard area",2020-08-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,4,summer,0,3,79,Safety,0
JPC Project Management>EHS Management>01 Inspections,Signage required in new subcontractors drying room area Level 1 Block 4,2020-08-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,8,4,summer,0,3,71,Safety,0
JPC Project Management>EHS Management>01 Inspections,Load capacity of plywood protection over stairwell should be considered,2020-08-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Working At Height,1328,Safety,,8,4,summer,0,3,71,Safety,0
JPC Project Management>EHS Management>01 Inspections,Isolated housekeeping items in Block 3. Overall housekeeping on site to a very high standard,2020-08-14,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,92,Safety,0
JPC Project Management>EHS Management>01 Inspections,Increased c19 signage erected throughout site this week,2020-08-14,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Documentation,1328,Safety,,8,4,summer,0,3,55,Safety,0
JPC Project Management>EHS Management>01 Inspections,Certain amount of the workforce providing feedback that safety glasses are fogging up and causing visibility issues due to mandatory face mask,2020-08-14,,Safety Notice (Amber) - General Issue,Ceilings & Partitions,FormAnswer,True,False,False,System Failure,JPC - Safety - PPE,1328,Safety,,8,4,summer,0,3,142,Safety,0
JPC Project Management>EHS Management>01 Inspections,High standard of material storage by M & E contractors on site,2020-08-14,,Safety Notice (Green) - Good Observation,Mechanical,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1328,Safety,,8,4,summer,0,3,62,Safety,0
JPC Project Management>EHS Management>01 Inspections,Some housekeeping attention required on Level7 Area 3 Block 3 & Block 4,2020-08-14,,Safety Notice (Amber) - General Issue,Precast Concrete,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,71,Safety,0
JPC Project Management>EHS Management,no drip tray under compressor,2019-08-06,,Safety Notice (Amber) - General Issue,Concrete - Formwork,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,8,1,summer,0,2,29,Safety,0
JPC Project Management>EHS Management>01 Inspections,Exclusion zone & controlled access at entrance to mast climbers on loading bay Level 1,2020-08-21,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Exclusion Zones,1328,Safety,,8,4,summer,0,3,86,Safety,0
JPC Project Management>EHS Management>01 Inspections,Very high standard of housekeeping & storage overall on all levels Blocks 3 & 4,2020-08-21,,Safety Notice (Green) - Good Observation,Ceilings & Partitions,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,79,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Substantial rainwater in stair core 3 block 3 following inclement weather, causing potential slip hazard on main access route for all site personnel",2020-08-21,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Access,1328,Safety,,8,4,summer,0,3,148,Safety,0
JPC Project Management>EHS Management>01 Inspections,"Best practice observed by electrical contractor on site. Podium ladder used instead of a-frame, exclusion zone set up, lead management evident from local splitter box and bucket for off cuts adopting a clean as you go approach",2020-08-21,,Safety Notice (Green) - Good Observation,Electrical,FormAnswer,True,False,False,Unknown,JPC - Safety - Electrical,1328,Safety,,8,4,summer,0,3,226,Safety,0
JPC Project Management>EHS Management>01 Inspections,All inspected lift shafts locked at time of site walk,2020-08-21,,Safety Notice (Green) - Good Observation,Lifts,FormAnswer,True,False,False,Unknown,JPC - Safety - Working At Height,1328,Safety,,8,4,summer,0,3,53,Safety,0
JPC Project Management>EHS Management>01 Inspections,Bins removed from multiple Safety stations in Block 3 and need to be reinstated. hand sanitizers also being installed,2020-08-21,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,117,Safety,0
JPC Project Management>EHS Management>01 Inspections,Ground floor block 3 requires immediate housekeeping attention. Material storage & access issues also,2020-08-21,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,101,Safety,0
JPC Project Management>EHS Management>01 Inspections,Dedicated non PPE access route to be installed before  new toilet block goes live,2020-08-21,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,8,4,summer,0,3,81,Safety,0
JPC Project Management>EHS Management>01 Inspections,Material storage & housekeeping to a very high standard on roof level Block 3,2020-08-28,,Safety Notice (Green) - Good Observation,Roofing,FormAnswer,True,False,False,Unknown,JPC - Safety - Storage,1328,Safety,,8,4,summer,0,3,77,Safety,0
JPC Project Management>EHS Management>01 Inspections,Hand sanitizer points located at all safety stations on site,2020-08-28,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Welfare Facilities,1328,Safety,,8,4,summer,0,3,60,Safety,0
JPC Project Management>EHS Management>03 Safety Notices,Waste Management. Remove rubbish bags,2019-08-14,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - Environmental,1328,Safety,,8,2,summer,0,3,37,Safety,0
JPC Project Management>EHS Management>01 Inspections,Site wide clean up by all subcontractors to address waste management issues on site,2020-08-28,,Safety Notice (Green) - Good Observation,Main Contractor,FormAnswer,True,False,False,Unknown,JPC - Safety - House Keeping,1328,Safety,,8,4,summer,0,3,83,Safety,0
JPC Project Management>EHS Management>01 Inspections,Level 4 Block 3 access lighting requires attention,2020-08-28,,Safety Notice (Amber) - General Issue,Temporary Electrics,FormAnswer,True,False,False,System Failure,JPC - Safety - Temporary Electrics,1328,Safety,,8,4,summer,0,3,50,Safety,0
JPC Project Management>EHS Management>01 Inspections,Two way access route to new welfare facilities being installed. Ground conditions to be made good and scaffold complete,2020-08-28,,Safety Notice (Amber) - General Issue,Scaffolding,FormAnswer,True,False,False,System Failure,JPC - Safety - Scaffolding,1328,Safety,,8,4,summer,0,3,119,Safety,0
JPC Project Management>EHS Management>01 Inspections,"New canteen being installed in Block 2, as existing canteen in Block 3 decommissioned",2020-08-28,,Safety Notice (Amber) - General Issue,Main Contractor,FormAnswer,True,False,False,System Failure,JPC - Safety - Welfare Facilities,1328,Safety,,8,4,summer,0,3,85,Safety,0
JPC Project Management>EHS Management>01 Inspections,Timbers from dismantling Drying Room to be removed or placed into storage,2020-08-28,,Safety Notice (Amber) - General Issue,Carpentry,FormAnswer,True,False,False,System Failure,JPC - Safety - Storage,1328,Safety,,8,4,summer,0,3,73,Safety,0
